OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
Shasta_Oki_15	K045183_?_4-15-15_153_2015	K030282_M_11-8-13_NB_2013	K030474_F_11-21-13_NB_2013	Shasta_Oki_12_13_14	2013	0.886133	0.081	14.041842	0.473837	0.473837	C_Se_Se	40	24	0	3	0	0	1	1	0	2	"Oki110064_418,Oki131802_368"
Shasta_Oki_15	K045608_?_4-28-15_142_2015	K030015_M_10-30-13_NB_2013	K030113_F_11-7-13_B_2013	Shasta_Oki_12_13_14	2013	0.888531	0.077	14.651411	0.623591	0.623591	C_Se_Se	39	56	0	15	0	1	0	0	0	1	Oki_afp4_10
Shasta_Oki_15	K044512_?_4-6-15_126_2015	K036047_M_11-25-14_B_2014	K035938_F_11-10-14_NB_2014	Shasta_Oki_12_13_14	2014	0.904011	0.088	8.407711	0.003208	0.455107	C_Se_U	55	42	0	1	0	1	1	0	2	3	"Oki103271_161,Oki131460_243,Oki_nips_159"
Shasta_Oki_15	K044452_?_4-4-15_144_2015	K030249_M_11-1-13_NB_2013	K030629_F_11-26-13_NB_2013	Shasta_Oki_12_13_14	2013	0.906351	0.085	12.495811	0.161004	0.408829	C_Se_Si	159	91	0	5	3	0	1	0	0	3	"Oki106479_278,Oki96158_278,Oki131802_368"
Shasta_Oki_15	K044926_?_4-10-15_152_2015	K030228_M_11-13-13_B_2013	K030067_F_11-6-13_B_2013	Shasta_Oki_12_13_14	2013	0.907171	0.084	14.321712	0.543669	0.543669	C_Se_Se	77	44	0	68	0	0	0	0	1	1	Oki_afp4_10
Shasta_Oki_15	K044260_?_4-13-15_144_2015	K031832_M_12-31-13_NB_2013	K030632_F_11-26-13_NB_2013	Shasta_Oki_12_13_14	2013	0.915171	0.088	10.423354	0.023586	0.422136	C_U_U	239	142	0	2	0	0	0	0	1	4	"Oki109894_418,Oki96127_66,Oki131802_368,Oki_SClkF2R2_120"
Shasta_Oki_15	K045108_?_4-15-15_135_2015	K029939_M_10-28-13_NB_2013	K030475_F_11-21-13_NB_2013	Shasta_Oki_12_13_14	2013	0.916081	0.087	13.167986	0.273169	0.349867	C_Si_Se	143	109	0	55	1	0	0	1	0	2	"Oki114315_360,Oki_afp4_10"
Shasta_Oki_15	K044566_?_4-7-15_165_2015	K031221_M_12-10-13_NB_2013	K031211_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.933715	0.092	10.594928	0.027877	0.55987	C_U_U	35	28	0	1	0	4	1	0	1	3	"Oki102457_67,Oki106172_60,Oki100974_293"
Shasta_Oki_15	K045595_?_4-27-15_123_2015	K035731_M_1-21-14_NB_2013	K029912_F_10-23-13_NB_2013	Shasta_Oki_12_13_14	2013	0.942656	0.094	13.249828	0.289716	0.37518	C_U_U	412	316	1	88	0	1	0	0	0	1	Oki96376_63
Shasta_Oki_15	K045201_?_4-16-15_163_2015	K031221_M_12-10-13_NB_2013	K030399_F_11-21-13_B_2013	Shasta_Oki_12_13_14	2013	0.950119	0.097	12.501239	0.161738	0.731941	C_Se_Si	16	14	0	3	0	4	0	0	2	3	"Oki105407_161,Oki_hsc713_56,Oki102457_67"
Shasta_Oki_15	K045317_?_4-17-15_141_2015	K031221_M_12-10-13_NB_2013	K031837_F_12-31-13_NB_2013	Shasta_Oki_12_13_14	2013	0.961297	0.097	11.225296	0.051111	0.470301	C_Se_U	52	37	0	3	0	4	0	0	1	2	"Oki129870_552,Oki96376_63"
Shasta_Oki_15	K044628_?_4-8-15_150_2015	K030971_M_11-26-13_NB_2013	K030132_F_11-1-13_NB_2013	Shasta_Oki_12_13_14	2013	0.968245	0.1	8.261964	0.002774	0.516125	C_Si_Se	170	114	0	1	0	1	1	2	0	4	"Oki105385_521,Oki125998_340,Oki_txnip_35,Oki117742_259"
Shasta_Oki_15	K044364_?_3-26-15_139_2015	K036000_M_11-17-14_NB_2014	K036125_F_12-2-14_B_2014	Shasta_Oki_12_13_14	2014	0.971969	0.105	8.309714	0.002909	0.623668	C_U_U	80	75	0	1	1	3	1	1	1	3	"Oki_txnip_35,Oki104515_99,Oki117742_259"
